,MAPE,Parameters
41,18.96767059804094,"{'changepoint_prior_scale': 200, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
42,19.039430850579294,"{'changepoint_prior_scale': 100, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
43,19.13733205520835,"{'changepoint_prior_scale': 100, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
44,19.167062562912967,"{'changepoint_prior_scale': 100, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
45,19.170619089825752,"{'changepoint_prior_scale': 100, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
46,19.72418602893605,"{'changepoint_prior_scale': 200, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
47,19.75277491212078,"{'changepoint_prior_scale': 100, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
48,19.996285775402303,"{'changepoint_prior_scale': 100, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
49,20.42578720011392,"{'changepoint_prior_scale': 100, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
50,20.500030924553876,"{'changepoint_prior_scale': 100, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
51,20.652337941612526,"{'changepoint_prior_scale': 200, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
52,20.67523759486717,"{'changepoint_prior_scale': 200, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
53,20.74553375778363,"{'changepoint_prior_scale': 200, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
54,20.765818876119326,"{'changepoint_prior_scale': 200, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
55,20.81291909951932,"{'changepoint_prior_scale': 100, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
56,20.828230717105928,"{'changepoint_prior_scale': 100, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
57,20.873761448115175,"{'changepoint_prior_scale': 100, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
58,20.903781338234182,"{'changepoint_prior_scale': 200, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
59,20.92796164569608,"{'changepoint_prior_scale': 200, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
60,21.038668055605086,"{'changepoint_prior_scale': 100, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
61,21.131528824074664,"{'changepoint_prior_scale': 200, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
62,21.267235212339074,"{'changepoint_prior_scale': 200, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
63,21.31528471184429,"{'changepoint_prior_scale': 100, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
64,21.37011389890682,"{'changepoint_prior_scale': 200, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
65,21.719736822846137,"{'changepoint_prior_scale': 200, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
66,21.766446903927523,"{'changepoint_prior_scale': 100, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
67,21.91581050091928,"{'changepoint_prior_scale': 200, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
68,21.932591572529578,"{'changepoint_prior_scale': 100, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
69,22.1647728635297,"{'changepoint_prior_scale': 100, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
70,22.276328766279157,"{'changepoint_prior_scale': 100, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
71,22.35844301851703,"{'changepoint_prior_scale': 200, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
